Participant ID: 134521,Date: 10-14-2019,Time: 10_3
ComputerClock_Timestamp,Video_Index,Target_Name,TargetX,TargetY,TargetXRadius,TargetYRadius
1571061802475.161,8,person_3,1675,534,46,128
1571061802522.1636,8,person_3,1676,526,44,123
1571061802568.1665,8,person_3,1677,522,42,122
1571061802616.1692,8,person_3,1677,514,40,115
1571061802663.1718,8,person_3,1680,509,37,113
1571061802709.1746,8,person_3,1682,508,35,112
1571061802757.1774,8,person_3,1683,506,35,110
1571061802808.1803,8,person_3,1681,501,33,103
1571061802858.1831,8,person_3,1680,501,33,103
1571061802907.186,8,person_3,1683,500,34,103
1571061802954.1886,8,person_3,1687,499,35,102
1571061803003.1912,8,person_3,1690,498,35,101
1571061803049.194,8,person_3,1694,498,36,101
1571061803097.1968,8,person_3,1698,497,37,100
1571061803143.1994,8,person_3,1701,496,37,99
1571061803192.2023,8,person_3,1705,495,38,99
1571061803239.205,8,person_3,1709,494,39,98
1571061803288.2075,8,person_3,1712,494,39,98
1571061803333.2102,8,person_3,1716,493,40,97
1571061803379.2129,8,person_3,1719,492,40,96
1571061803428.2157,8,person_3,1723,492,41,96
1571061803474.2181,8,person_3,1720,491,43,97
1571061803522.221,8,person_3,1718,491,45,99
1571061803569.2236,8,person_3,1717,500,46,108
1571061803616.2262,8,person_3,1720,507,48,116
1571061803662.229,8,person_3,1723,525,46,132
1571061803710.2318,8,person_3,1728,531,47,142
1571061803757.2343,8,person_3,1733,528,48,140
1571061803803.2372,8,person_3,1736,530,49,141
1571061803850.2398,8,person_3,1739,533,48,144
1571061803898.2425,8,person_3,1738,533,47,141
1571061803945.2453,8,person_3,1740,536,51,142
1571061803993.248,8,person_3,1743,538,49,141
1571061804040.2505,8,person_3,1747,543,44,140
1571061804087.2533,8,person_3,1757,539,46,141
1571061804133.256,8,person_3,1759,534,49,143
1571061804182.2586,8,person_3,1760,533,48,144
1571061804228.2615,8,person_3,1762,536,48,144
1571061804275.264,8,person_3,1766,533,48,139
1571061804321.2667,8,person_3,1769,530,48,144
1571061804370.2695,8,person_3,1773,533,46,144
1571061804417.2723,8,person_3,1776,531,45,144
1571061804463.275,8,person_3,1780,532,45,145
1571061804511.2777,8,person_3,1780,536,42,139
1571061804559.2804,8,person_3,1782,528,41,132
1571061804605.283,8,person_3,1783,533,42,137
1571061804653.2857,8,person_3,1790,525,42,130
1571061804699.2884,8,person_3,1801,530,42,136
1571061804748.291,8,person_3,1804,531,42,137
1571061804793.2937,8,person_3,1807,533,42,138
1571061804840.2965,8,person_3,1814,534,41,140
1571061804886.2991,8,person_3,1814,535,41,140
1571061804934.3016,8,person_3,1816,537,42,141
1571061804980.3045,8,person_3,1817,539,42,142
1571061805027.307,8,person_3,1818,540,43,142
1571061805074.3098,8,person_3,1820,542,44,143
1571061805121.3126,8,person_3,1821,544,44,144
1571061805168.3152,8,person_3,1825,543,45,144
1571061805214.3178,8,person_3,1822,544,47,141
1571061805262.3208,8,person_3,1822,545,48,141
1571061805310.3232,8,person_3,1823,546,49,141
1571061805356.3259,8,person_3,1824,548,50,141
1571061805403.3284,8,person_3,1824,549,50,141
1571061805450.3314,8,person_3,1825,550,51,140
1571061805498.3342,8,person_3,1826,551,52,140
1571061805545.3365,8,person_3,1827,553,53,140
1571061805593.3394,8,person_3,1830,549,55,140
1571061805641.3422,8,person_3,1838,551,53,143
1571061805689.3451,8,person_3,1843,554,51,138
1571061805736.3477,8,person_3,1853,550,48,139
1571061805782.3503,8,person_3,1858,550,47,140
1571061805829.3529,8,person_3,1863,545,45,141
1571061805876.3556,8,person_3,1872,550,43,143
1571061805922.3583,8,person_3,1872,548,42,141
1571061805969.3608,8,person_8,56,602,27,93
1571061806015.3637,8,person_8,56,603,28,94
1571061806063.3664,8,person_8,56,604,28,94
1571061806110.369,8,person_8,56,605,28,94
1571061806157.372,8,person_8,55,604,28,93
1571061806203.3744,8,person_8,55,604,28,93
1571061806249.377,8,person_8,55,604,28,93
1571061806295.3796,8,person_8,55,604,28,93
1571061806342.3824,8,person_8,55,604,29,93
1571061806389.385,8,person_8,55,604,29,93
1571061806436.3875,8,person_8,55,604,29,93
1571061806483.3906,8,person_8,54,604,28,93
1571061806530.3931,8,person_8,54,604,28,93
1571061806577.3957,8,person_8,54,603,29,92
1571061806623.3983,8,person_8,54,603,29,92
1571061806670.401,8,person_8,54,603,29,92
1571061806717.404,8,person_8,54,603,29,92
1571061806763.4063,8,person_8,54,604,29,92
1571061806811.4092,8,person_8,53,603,29,91
1571061806859.412,8,person_8,53,603,30,90
1571061806908.4146,8,person_8,52,603,30,90
1571061806955.4174,8,person_8,53,603,31,89
1571061807003.42,8,person_8,53,603,30,89
1571061807050.4227,8,person_8,54,602,30,89
1571061807098.4256,8,person_8,54,604,31,91
1571061807144.4283,8,person_8,56,604,34,91
1571061807192.4312,8,person_8,58,603,36,92
1571061807238.4336,8,person_8,56,602,36,92
1571061807284.4362,8,person_8,54,602,35,92
1571061807331.4388,8,person_8,55,602,34,91
1571061807380.4417,8,person_8,55,602,33,91
1571061807426.4443,8,person_8,55,601,34,91
1571061807474.447,8,person_5,546,582,47,138
1571061807521.4498,8,person_5,549,575,48,143
1571061807569.4525,8,person_5,552,576,50,139
1571061807615.4552,8,person_5,553,575,49,140
1571061807663.4579,8,person_5,555,582,47,142
1571061807709.4605,8,person_5,558,576,52,143
1571061807758.4631,8,person_5,558,578,53,142
1571061807804.466,8,person_5,558,580,51,140
1571061807850.4686,8,person_5,559,587,49,140
1571061807897.4712,8,person_5,559,587,46,139
1571061807947.4742,8,person_5,559,587,45,139
1571061807994.4768,8,person_5,567,580,48,141
1571061808040.4794,8,person_5,563,586,46,140
1571061808090.4822,8,person_5,572,581,49,141
1571061808138.485,8,person_5,574,579,52,141
1571061808186.488,8,person_5,576,579,52,142
1571061808234.4906,8,person_5,579,576,49,146
1571061808280.4933,8,person_5,582,575,50,145
1571061808329.4961,8,person_5,583,577,48,144
1571061808376.4987,8,person_5,587,577,47,146
1571061808422.5013,8,person_5,587,575,47,146
1571061808468.5037,8,person_5,588,573,50,147
1571061808516.5067,8,person_5,589,578,46,145
1571061808562.5093,8,person_5,591,581,47,142
1571061808608.512,8,person_5,594,580,47,146
1571061808654.5148,8,person_5,594,577,50,148
1571061808701.5173,8,person_5,597,579,50,147
1571061808748.52,8,person_5,594,566,48,135
1571061808794.5225,8,person_5,592,539,45,103
1571061808843.5254,8,person_2,1058,630,102,274
1571061808888.5279,8,person_2,1065,665,97,277
1571061808936.5306,8,person_2,1064,664,95,277
1571061808982.5335,8,person_2,1065,666,96,274
1571061809030.5362,8,person_2,1066,668,95,276
1571061809076.5386,8,person_2,1068,668,95,275
1571061809123.5416,8,person_2,1068,671,98,276
1571061809170.5441,8,person_2,1080,671,99,282
1571061809216.5468,8,person_2,1084,673,99,282
1571061809265.5497,8,person_2,1093,671,94,283
1571061809311.5523,8,person_2,1097,677,91,281
1571061809357.5547,8,person_2,1100,683,87,272
1571061809405.5574,8,person_2,1102,687,92,270
1571061809452.5602,8,person_2,1105,685,94,275
1571061809499.563,8,person_2,1119,683,96,277
1571061809546.5655,8,person_2,1129,682,100,282
1571061809596.5686,8,person_2,1135,681,104,285
1571061809644.571,8,person_2,1143,680,104,288
1571061809690.574,8,person_2,1156,687,109,285
1571061809737.5765,8,person_2,1160,687,112,287
1571061809784.579,8,person_2,1167,686,115,295
1571061809830.5817,8,person_2,1174,691,117,291
1571061809878.5846,8,person_2,1176,692,120,283
1571061809924.5872,8,person_2,1179,696,121,286
1571061809973.59,8,person_2,1182,696,120,289
1571061810019.5928,8,person_2,1191,697,113,292
1571061810066.5953,8,person_2,1193,700,112,296
1571061810112.598,8,person_2,1194,696,110,303
1571061810162.6008,8,person_2,1193,695,103,304
1571061810208.6034,8,person_2,1196,688,101,307
1571061810255.6062,8,person_2,1199,693,100,301
1571061810301.6088,8,person_2,1203,695,99,310
1571061810350.6117,8,person_2,1205,693,100,311
1571061810396.614,8,person_2,1212,698,101,310
1571061810442.617,8,person_2,1215,703,102,307
1571061810489.6195,8,person_2,1227,709,110,296
1571061810535.6221,8,person_2,1236,702,108,304
1571061810585.6252,8,person_2,1239,700,106,310
1571061810631.6278,8,person_2,1245,705,108,306
1571061810678.6304,8,person_2,1252,710,104,312
1571061810727.6332,8,person_2,1264,710,109,314
1571061810774.6358,8,person_2,1272,713,111,312
1571061810822.6385,8,person_2,1282,657,115,325
1571061810868.6414,8,person_2,1291,653,119,327
1571061810921.6442,8,person_2,1297,654,124,329
1571061810968.647,8,person_2,1305,659,128,331
1571061811015.6496,8,person_2,1313,664,129,333
1571061811061.6522,8,person_2,1316,664,127,327
1571061811110.655,8,person_2,1313,662,132,339
1571061811156.6577,8,person_2,1321,666,127,340
1571061811202.6603,8,person_2,1325,671,124,331
1571061811248.663,8,person_2,1328,677,125,333
1571061811295.6657,8,person_2,1333,681,126,331
1571061811343.6685,8,person_2,1339,686,125,338
1571061811389.6708,8,person_2,1348,688,124,336
1571061811436.6739,8,person_2,1359,673,109,337
1571061811482.6763,8,person_2,1362,676,110,338
1571061811529.679,8,person_2,1363,679,111,341
1571061811575.6817,8,person_2,1372,673,106,350
1571061811621.6843,8,person_2,1375,728,108,334
